"Language
","Original purpose
","Imperative
","Object-oriented
","Functional
","Procedural
","Generic
","Reflective
","Other paradigms
","Standardized?
"
"1C:Enterprise programming language
","Application, RAD, business, general, web, mobile
","Yes
","No
","Yes
","Yes
","Yes
","Yes
","Object-based, Prototype-based programming
","No
"
"ActionScript
","Application, client-side, web
","Yes
","Yes
","Yes
","Yes
","No
","No
","prototype-based
","Yes1999-2003, ActionScript 1.0 with ES3, ActionScript 2.0 with ES3 and partial ES4 draft, ActionScript 3.0 with ES4 draft, ActionScript 3.0 with E4X
"
"Ada
","Application, embedded, realtime, system
","Yes
","Yes[2]
","No
","Yes[3]
","Yes[4]
","No
","Concurrent,[5] distributed[6]
","Yes1983, 2005, 2012, ANSI, ISO, GOST 27831-88[7]
"
"Aldor
","Highly domain-specific, symbolic computing
","Yes
","Yes
","Yes
","No
","No
","No
","
","No
"
"ALGOL 58
","Application
","Yes
","No
","No
","No
","No
","No
","
","No
"
"ALGOL 60
","Application
","Yes
","No
","No
","Yes
","Yes
","No
","
","Yes1960, IFIP WG 2.1, ISO[8]
"
"ALGOL 68
","Application
","Yes
","No
","Yes
","Yes
","Yes
","No
","Concurrent
","Yes1968, IFIP WG 2.1, GOST 27974-88,[9]
"
"Ateji PX
","Parallel application
","No
","Yes
","No
","No
","No
","No
","pi calculus
","No
"
"APL
","Application, data processing
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Array-oriented, tacit
","Yes1989, ISO
"
"Assembly language
","General
","Yes
","No
","No
","No
","No
","No
","Any, syntax is usually highly specific, related to the target processor
","Yes1985 IEEE 694-1985[10]
"
"AutoHotkey
","GUI automation (macros), highly domain-specific
","Yes
","Yes[11]
","No
","Yes
","No
","No
","
","No
"
"AutoIt
","GUI automation (macros), highly domain-specific
","Yes
","No
","No
","Yes
","No
","No
","
","No
"
"Ballerina
","Integration, agile, server-side, general
","Yes
","Yes
","Yes
","Yes
","No
","No
","Concurrent, transactional, statically and strongly typed, diagrammatic–visual
","De factostandard via Ballerina Language Specification[12]
"
"Bash
","Shell, scripting
","Yes
","No
","No
","Yes
","No
","No
","
","OptionallyPOSIX.2[13]
"
"BASIC
","Application, education
","Yes
","No
","No
","Yes
","No
","No
","
","Yes1983, ANSI, ISO, ECMA
"
"BeanShell
","Application, scripting
","Yes
","Yes
","Yes
","No
","No
","Yes
","
","NoIn progress, JCP[14]
"
"BLISS
","System
","No
","No
","No
","Yes
","No
","No
","
","No
"
"BlitzMax
","Application, game
","Yes
","Yes
","No
","Yes
","No
","Yes
","
","No
"
"Boo
","Application, game scripting
","No
","Yes
","No
","No
","No
","No
","
","No
"
"C
","Application, system,[15] general purpose, low-level operations
","Yes
","No
","No
","Yes
","No
","No
","
","Yes1989, ANSI C89, ISO/IEC C90, ISO/IEC C95, ISO/IEC C99, ISO/IEC C11, ISO/IEC C17, ISO/IEC C2x[16]
"
"C++
","Application, system
","Yes
","Yes
","Yes
","Yes
","Yes
","No
","
","Yes1998, ISO/IEC C++98, ISO/IEC C++03, ISO/IEC C++11, ISO/IEC C++14, ISO/IEC C++17, ISO/IEC C++20, ISO/IEC C++23[17]
"
"C#
","Application, RAD, business, client-side, general, server-side, web, game programming
","Yes
","Yes
","Yes[18]
","Yes
","Yes
","Yes
","Structured, concurrent
","Yes2000, ECMA, ISO[19]
"
"Clarion
","General, business, web
","Yes
","Yes
","Yes[20]
","No
","No
","No
","
","Un­known
"
"Clean
","General
","No
","No
","Yes
","No
","Yes
","No
","
","No
"
"Clojure
","General
","No
","No
","Yes
","No
","No
","No
","Concurrent
","No
"
"CLU
","General
","Yes
","Yes
","No
","Yes
","Yes
","No
","
","No
"
"COBOL
","Application, business
","Yes
","Yes
","No
","Yes
","No
","No
","
","Yes1968 ANSI X3.23, 1974, 1985; ISO/IEC 1989:1985, 2002, 2014
"
"Cobra
","Application, business, general, web
","Yes
","Yes
","Yes
","No
","Yes
","Yes
","
","No
"
"ColdFusion (CFML)
","Web
","No
","Yes
","No
","Yes
","No
","No
","
","No
"
"Common Lisp
","General
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Extensible syntax, Array-oriented, syntactic macros, multiple dispatch, concurrent
","Yes1994, ANSI
"
"COMAL 80
","Education
","Yes
","No
","No
","Yes
","No
","No
","
","No
"
"Crystal
","General purpose
","Yes
","Yes[21]
","Yes
","Yes
","Yes[22]
","No
","Concurrent[23]
","No
"
"Curry
","Application
","No
","No
","Yes
","No
","Yes
","No
","lazy evaluation, non-determinism
","De facto standard via Curry Language Report
"
"Cython
","Application, general, numerical computing
","Yes
","Yes
","Yes
","No
","No
","Yes
","Aspect-oriented
","No
"
"D
","Application, system
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","Generative, concurrent
","No
"
"Dart
","Application, web, server-side, mobile, IoT
","Yes
","Yes
","Yes
","Yes
","Yes
","No
","Structured
","YesECMA-408 standard
"
"Delphi, Object Pascal
","General purpose
","Yes
","Yes
","Yes
","Yes
","Yes
","Yes
","
","?


"
"Dylan
","Application
","No
","Yes
","Yes
","No
","No
","No
","
","No
"
"Eiffel
","General, application, business, client-side, server-side, web (EWF)
","Yes
","Yes
","Yes[24][25]
","No
","Yes
","Yes Erl-G
","Distributed SCOOP, Void-safe
","Yes2005, ECMA, ISO[26]
"
"ELAN
","Education
","Yes
","No
","No
","Yes
","No
","No
","Structured, stepwise refinement
","No
"
"Elixir
","Application, distributed
","No
","No
","Yes
","No
","No
","Yes
","Concurrent, distributed
","No
"
"Erlang
","Application, distributed
","No
","No
","Yes
","No
","No
","Yes
","Concurrent, distributed
","No
"
"Euphoria
","Application
","No
","No
","No
","Yes
","No
","Yes
","
","No
"
