,area_type,location,society,total_sqft,bath,balcony,price,bed,price_per_sqft
0,Super built-up  Area,Electronic City Phase II,other_society,1056,2.0,1.0,39.07,2,3699.810606060606
1,Plot  Area,Chikka Tirupathi,Theanmp,2600,5.0,3.0,120.0,4,4615.384615384615
2,Built-up  Area,Uttarahalli,GrrvaGr,1440,2.0,3.0,62.0,3,4305.555555555556
3,Super built-up  Area,Lingadheeranahalli,Soiewre,1521,3.0,1.0,95.0,3,6245.890861275477
4,Super built-up  Area,Kothanur,GrrvaGr,1200,2.0,1.0,51.0,2,4250.0
5,Super built-up  Area,Whitefield,other_society,1170,2.0,1.0,38.0,2,3247.863247863248
6,Super built-up  Area,Old Airport Road,Jaades,2732,4.0,2.0,204.0,4,7467.0571010248905
7,Super built-up  Area,Rajaji Nagar,Brway G,3300,4.0,2.0,600.0,4,18181.81818181818
8,Super built-up  Area,Marathahalli,GrrvaGr,1310,3.0,1.0,63.25,3,4828.244274809161
9,Plot  Area,others,GrrvaGr,1020,6.0,2.0,370.0,6,36274.509803921566
10,Super built-up  Area,Whitefield,GrrvaGr,1800,2.0,2.0,70.0,3,3888.8888888888887
11,Plot  Area,Whitefield,other_society,2785,5.0,3.0,295.0,4,10592.45960502693
12,Super built-up  Area,7th Phase JP Nagar,other_society,1000,2.0,1.0,38.0,2,3800.0
13,Built-up  Area,Gottigere,GrrvaGr,1100,2.0,2.0,40.0,2,3636.3636363636365
14,Plot  Area,Sarjapur,other_society,2250,3.0,2.0,148.0,3,6577.777777777777
15,Super built-up  Area,Mysore Road,other_society,1175,2.0,2.0,73.5,2,6255.31914893617
16,Super built-up  Area,Bisuvanahalli,Prityel,1180,3.0,2.0,48.0,3,4067.7966101694915
17,Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,1540,3.0,3.0,60.0,3,3896.103896103896
18,Super built-up  Area,others,other_society,2770,4.0,2.0,290.0,3,10469.314079422382
19,Super built-up  Area,others,GrrvaGr,1100,2.0,2.0,48.0,2,4363.636363636364
20,Built-up  Area,Kengeri,GrrvaGr,600,1.0,1.0,15.0,1,2500.0
21,Super built-up  Area,Binny Pete,She 2rk,1755,3.0,1.0,122.0,3,6951.5669515669515
22,Plot  Area,Thanisandra,Soitya,2800,5.0,2.0,380.0,4,13571.42857142857
23,Super built-up  Area,Bellandur,GrrvaGr,1767,3.0,1.0,103.0,3,5829.088851160159
24,Super built-up  Area,Thanisandra,Bhe 2ko,510,1.0,0.0,25.25,1,4950.980392156863
25,Super built-up  Area,others,GrrvaGr,1250,3.0,2.0,56.0,3,4480.0
26,Super built-up  Area,Electronic City,Itelaa,660,1.0,1.0,23.1,2,3500.0
27,Built-up  Area,Whitefield,GrrvaGr,1610,3.0,2.0,81.0,3,5031.055900621118
28,Super built-up  Area,Ramagondanahalli,ViistLa,1151,2.0,2.0,48.77,2,4237.185056472633
29,Super built-up  Area,Electronic City,other_society,1025,2.0,1.0,47.0,3,4585.365853658536
30,Super built-up  Area,Yelahanka,other_society,2100,4.0,0.0,186.0,4,8857.142857142857
31,Super built-up  Area,Bisuvanahalli,Prityel,1075,2.0,1.0,35.0,3,3255.813953488372
32,Super built-up  Area,Hebbal,Mahosya,1760,2.0,2.0,123.0,3,6988.636363636364
33,Super built-up  Area,Raja Rajeshwari Nagar,GrrvaGr,1693,3.0,3.0,57.39,3,3389.84051978736
34,Built-up  Area,Kasturi Nagar,other_society,1925,3.0,2.0,125.0,3,6493.506493506494
35,Super built-up  Area,Kanakpura Road,PrarePa,700,2.0,1.0,36.0,2,5142.857142857143
36,Super built-up  Area,Electronics City Phase 1,GrrvaGr,1070,2.0,1.0,45.5,2,4252.336448598131
